timestamp,did,unr-file-name,unr-title,unr-desc,creator,date-inst,site-name,site-address,lat-lon,sign-manf,sign-owner,lit-unlit,time-day,subj-fast,print-pub,rights,format,dcmi,prov,proj-name,unr-cit,corr-guide,dig-pub,contrib,int-ext,rights-owner,date-img
7/3/2021 8:49:19,NNN000635,DSC_0192.Trip2.JPG; DSC_0193.Trip2.JPG; DSC_0196.Trip2.JPG; DSC_0197.Trip2.JPG,"Carson Nugget marquee sign, Carson City, Nevada","<p>View of  a flag mounted wall sign for the Castaway Inn directing guests to the office with unlit neon.</p><p>525 W 2nd St, Reno, NV 89503</p></br>","Durham, Will",1954,,"<p>507 N Carson St, Carson City, NV 89701</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2020
,NNN000635-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000635-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000635-003,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000635-004,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2021 9:15:47,NNN000636,DSC_0199.Trip2.JPG,"Carson nugget wall mounted casino sign, Carson City, Nevada","<p>View of the mounted sign for the Centre Motel in Elko during the day and at night.</p><p>475 3rd St, Elko, NV 89801</p></br>","Durham, Will",1954,,"<p>507 N Carson St, Carson City, NV 89701</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2020
,NNN000636-001,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2021 9:38:30,NNN000637,DSC_0212.Trip2.JPG; DSC_0213.Trip2.JPG,"Carson Nugget wall mounted sign, Carson City, Nevada","<p>View of the roof mounted sign for the Centre Motel during the day and at night.</p><p>475 3rd St, Elko, NV 89801</p></br>","Durham, Will",1954,,"<p>507 N Carson St, Carson City, NV 89701</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2020
,NNN000637-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000637-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2021 9:40:05,NNN000638,DSC_0239.Trip2.JPG; DSC_0240.Trip2.JPG,"Carson Nugget wall mounted sign, Carson City, Nevada",<p>View of the Chilton Centennial Tower during the day and at night.</p></br>,"Durham, Will",1954,,"<p>507 N Carson St, Carson City, NV 89701</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2020
,NNN000638-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000638-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2021 10:01:25,NNN000639,DSC_0241.Trip2.JPG; DSC_0242.Trip2.JPG; DSC_0244.Trip2.JPG; DSC_0246.Trip2.JPG; DSC_0247.Trip2.JPG;  DSC_0249.Trip2.JPG,"Carson Nugget wall mounted signs, Carson City, Nevada","<p>View of the flag mounted wall sign for the Chocolate Walrus during the day with and without lit neon.</p><p>1278 S Virginia St, Reno, NV 89502</p></br>","Durham, Will",1954,,"<p>507 N Carson St, Carson City, NV 89701</p>",,,,"lit, unlit",day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2020
,NNN000639-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000639-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000639-003,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000639-004,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000639-005,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000639-006,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2021 10:48:52,NNN000640,DSC_0340.Trip2.JPG; DSC_0341.Trip2.JPG,"Casale's Halfway Club flag mounted wall sign, Reno, Nevada","<p>View of the clown sign for the Circus Circus during the day with unlit neon.</p><p>500 N Sierra St, Reno, NV 89503</p></br>","Durham, Will",1944,,"<p>2501 E 4th St, Reno, NV 89512</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000640-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000640-002,,,,,,,,,,,,,,,,,,,,,,,,,,
