timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
"7/22/2021 19:39"|NNN000772|"DSC_0224.Trip2.JPG; DSC_0225.Trip2.JPG;"|"The Union wall mounted signs, Carson City, Nevada"|"<p>View of the wall mounted signs for The Union during the day.</p>"|"Durham, Will"|XXXX|"The Union"|"302 N Carson St, Carson City, NV 89701"|"39.1653472, -119.7671365"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"7/22/2021 19:53"|NNN000773|"DSC_0414.Trip2.JPG; DSC_0415.Trip2.JPG; DSC_0641.Trip4.JPG"|"Tombstone Territory mounted sign, Reno, Nevada"|"<p>View of the Tombstone Territory mounted sign during the day with unlit neon.</p>"|"Durham, Will"|XXXX|"Tombstone Terriroty"|"255 W 4th St, Reno, NV 89503"|"39.5292311, -119.8177401"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"7/22/2021 19:59"|NNN000774|"DSC_0879.Trip2.JPG; DSC_0880.Trip2.JPG; DSC_0999.Trip2.JPG; DSC_1001.Trip2.JPG"|"Travelers Motel mounted sign, Elko, Nevada"|"<p>Views of the Travelers Motel mounted sign during the day and at night.</p>"|"Durham, Will"|XXXX|"Travelers Motel"|"1181 Idaho St, Elko, NV 89801"|"40.8380304, -115.7572653"|||"lit, unlit"|"day, night"|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"7/22/2021 20:03"|NNN000775|"DSC_0312.Trip2.JPG; DSC_0316.Trip2.JPG"|"TSA Custom Car & Truck wall mounted signs, Carson City, Nevada"|"<p>View of the wall mounted sign for TSA Custom Car & Truck with lit neon.</p>"|"Durham, Will"|XXXX|"TSA Custom Car & Truck"|"2860 US-50, Carson City, NV 89701"|"39.1760288, -119.7364683"|||lit|dusk|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
"7/22/2021 20:08"|NNN000776|"DSC_0612.Trip2.JPG; DSC_0613.Trip2.JPG; DSC_0614.Trip2.JPG; DSC_0718.Trip2.JPG"|"Winnemucca Welcome free standing sign, Winnemucca, Nevada"|"<p>Views of the welcome sign for Winnemucca during the day and at night.</p>"|"Durham, Will"|XXXX||||||"lit, unlit"|"day, night"|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"7/22/2021 20:32"|NNN000777|"DSC_0057.Trip2.JPG; DSC_0058.Trip2.JPG"|"Wild Orchid wall mounted signs, Reno, Nevada"|"<p>Views of the wall mounted signs for the Wild Orchid during the day with unlit neon.</p>"|"Durham, Will"|XXXX|"Wild Orchid"|"515 S Virginia St, Reno, NV 89501"|"39.5193703, -119.810949"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"7/22/2021 20:36"|NNN000778|"DSC_0059.Trip2.JPG; DSC_0060.Trip2.JPG"|"Wild River Grille flag mounted wall signs, Reno, Nevada"|"<p>Views of the flag mounted wall signs for the Wild River Grille during the day.</p>"|"Durham, Will"|XXXX|"Wild River Grille"|"17 S Virginia St, Reno, NV 89501"|"39.5245412, -119.8126662"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
"7/22/2021 20:40"|NNN000779|"DSC_0061.Trip2.JPG; DSC_0062.Trip2.JPG"|"Wild River Grille wall mounted signs, Reno, Nevada"|"<p>Views of the wall mounted sign for the Wild River Grille during the day.</p>"|"Durham, Will"|XXXX|"Wild River Grille"|"17 S Virginia St, Reno, NV 89501"|"39.5245412, -119.8126662"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
"7/22/2021 20:43"|NNN000780|DSC_0063.Trip2.JPG|"River Room wall mounted sign, Reno, Nevada"|"<p>View of the sign for the River Room during the day, the lounge is a part of the Wild River Grille.</p>"|"Durham, Will"|XXXX|"Wild River Grille"|"17 S Virginia St, Reno, NV 89501"|"39.5245412, -119.8126662"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
"7/22/2021 20:53"|NNN000781|"DSC_0618.Trip2.JPG; DSC_0731.Trip2.JPG"|"Winnemucca Inn double mounted sign, Winnemucca, Nevada"|"<p>Views of the Winnemucca Inn's double mounted sign during the day and at night.</p>"|"Durham, Will"|XXXX|"Winnemucca Inn"|"741 W Winnemucca Blvd, Winnemucca, NV 89445"|"40.9676931, -117.7409567"|||"lit, unlit"|"day, night"|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020
