timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
"7/14/2021 18:38"|NNN000701|"DSC_0265.Trip2.JPG; DSC_0266.Trip2.JPG; DSC_0267.Trip2.JPG"|"Love Ranch mounted sign, Carson City, Nevada"|"<p>View of the mounted arrow sign for the Love Ranch in Carson city in the evening with unlit neon. A detail shot of a star sign is shown.</p>"|"Durham, Will"|XXXX|"Love Ranch"|"95 Kit Kat Dr, Carson City, NV 89706"|"39.208531, -119.663354"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Brothels -- http://id.worldcat.org/fast/1765181"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000701-001|||||||||||||||||||||||||||
|NNN000701-002|||||||||||||||||||||||||||
|NNN000701-003|||||||||||||||||||||||||||
"7/14/2021 18:56"|NNN000702|"DSC_0490.Trip2.JPG; DSC_0491.Trip2.JPG"|"Lucky Motel flag mounted sign, Reno, Nevada"|"<p>View of the flag mounted sign for the Lucky Motel during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"1011 E 4th St, Reno, NV 89512"|"39.5329291, -119.8002087"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000702-001|||||||||||||||||||||||||||
|NNN000702-002|||||||||||||||||||||||||||
"7/14/2021 19:03"|NNN000703|"DSC_0919.Trip2.JPG; DSC_0920.Trip2.JPG; DSC_0930.Trip2.JPG; DSC_0135.Trip3.JPG; DSC_0136.Trip3.JPG; DSC_0137.Trip3.JPG; DSC_0138.Trip3.JPG"|"Manor Motor Lodge flag mounted sign, Elko, Nevada"|"<p>View of the flag mounted sign for the Manor Motor Lodge during the day with unlit neon and at night with lit neon.</p>"|"Durham, Will"|XXXX||"185 Idaho St, Elko, NV 89801"|"40.8302966, -115.7662962"|||"lit, unlit"|"morning, night"|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000703-001|||||||||||||||||||||||||||
|NNN000703-002|||||||||||||||||||||||||||
