did-unr|unr-file-name|unr-title|unr-desc|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|format|dcmi|prov|proj-name|unr-cit|dig-pub|contrib|int-ext|staff-notes|date-img|title-code|title-full|creator
neo000001|||"Daytime and nighttime views of the Aladdin Hotel Casino and Resort signs on the Strip. "|2000|"Aladdin Hotel (Las Vegas, Nev.)"|"3667 Las Vegas Blvd, Las Vegas, NV"|"36.1100629, -115.1708909"||"Aladdin Gaming LLC"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000002|||"Daytime and nighttime views of the Alan Albert's restaurant signs on the Strip. "|||"3763 S Las Vegas Blvd, Las Vegas, NV"|"36.1052945, -115.17249"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000003|||"Views of the Algiers Hotel signs at dusk on the Strip. "|1953|"Algiers Hotel (Las Vegas, Nev.)"|"2845 S Las Vegas Blvd, Las Vegas, NV"|"36.1366854, -115.161777"||"Larry Kiefer"||||||||||||||2002|||"Joshua Cannaday"
neo000004|||"Daytime and nighttime views of the Arby's and Guinness World of Records Museum signs on the Strip. "|||"2776 Las Vegas Blvd, 2780 Las Vegas Blvd, Las Vegas, NV"|"36.1382276, -115.161493"||"Arby's: Schultzen and Harry Sax, Guinness: ?, Cj's: PDS Gaming used to be Carl Fredrickson"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000005|||"Daytime and nighttime views of the Arco ampm sign on the Strip. "|3175||"2728 S Las Vegas Blvd, Las Vegas, NV"|"36.1385737, -115.1615582"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000006|||"Photos show Bally's signs at night and during the day. "||"Bally's Las Vegas"|"3645 S Las Vegas Blvd, Las Vegas, NV"|"36.1135123, -115.170882"||"Park Place Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000007|||"Daytime and nighttime views of the Barbary Coast signs on The Strip. "|1977||"3595 Las Vegas Blvd, Las Vegas, NV"|"36.1150009, -115.1718246"||"Coast Casinos"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000008|||"Photos show Battista's signs at night. "|||"4041 Audrie St, Las Vegas, NV"|"36.1127491, -115.1676156"||||night||||||||||||2002|||"Joshua Cannaday"
neo000009|||"Photos show Bellagio signs at night. "|1998|"Bellagio (Las Vegas, Nev.)"|"3600 S Las Vegas Blvd, Las Vegas, NV"|"36.1125269, -115.175947"||"MGM Mirage"||night||||||||||||2002|||"Joshua Cannaday"
neo000010|||"Views of the Blue Note club signs on the Las Vegas Strip. "|2000||"3663 S Las Vegas Blvd, Las Vegas, NV"|"36.1091547, -115.1716393"||"Blue Note International: Father & Son team of Danny and Steven Bensusan"||||||||||||||2002|||"Joshua Cannaday"
neo000011|||"Daytime and nighttime views of the Boardwalk Holiday Inn signs on the Strip. "|||"3750 S Las Vegas Blvd, Las Vegas, NV"|"36.1060937, -115.1735847"||"MGM Mirage"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000012|||"Nighttime views of the Bourbon Street Hotel and Casino signs. "|1984||"120 E Flamingo Rd, Las Vegas, NV"|"36.1152514, -115.1672857"||"Carma LTD"||night||||||||||||2002|||"Joshua Cannaday"
neo000013|||"Photos show Caesars signs during the day and the porte-cochere at night. "|1966|"Caesars Palace (Las Vegas, Nev.)"|"3200 S Las Vegas Blvd, Las Vegas, NV"|"36.1275236, -115.1715003"||"Park Place Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000014|||"Daytime and nighttime views of the Candlelight Wedding Chapel sign. "|||"800 S 4th Street, Las Vegas, NV"|"36.1615182, -115.1476218"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000015|||"Daytime and nighttime views of the Casa Malaga signs on the Strip. "|||"4615 S Las Vegas Blvd, Las Vegas, NV"|"36.086333, -115.171965"||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000016|||"Daytime and nighttime views of the Casino Royale and Denny's signs on the Strip. "|1992||"3419 S Las Vegas Blvd, Las Vegas, NV"|"36.1209811, -115.1718407"||"Tom Elardi"||day,night||||||||||||2002|||"Joshua Cannaday"
