timestamp|did-unr|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|blank-1|staff-notes|date-img|blank-2|title-code|title-full
8/8/2020 13:07:09|NNN000001|EL-2-111 Peoples Market 1928.tif; EL-2-112 Detail People's Market 1928.tif; EL-2-113 detail People's Market 1928.tif|People's Market window lettering, Elko, Nevada: photographic print|<p>Exterior view of the People's Market in Elko, the earliest documented neon signs in NV. Detail shots included. Photos were taken during the day.</p>|Unknown|1928||<p>443 Idaho St, Elko, NV 89801</p>|40.832482, -115.763792|||unlit|unknown|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829||https://rightsstatements.org/page/CNE/1.0/?language=en|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072716|Exterior|||1928||<p><p>Exterior view of the People's Market in Elko, the earliest documented neon signs in NV. Detail shots included. Photos were taken during the day.</p></p><p></p><p><p>443 Idaho St, Elko, NV 89801</p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>|<p>Exterior view of the People's Market in Elko, the earliest documented neon signs in NV. Detail shots included. </p><p></p><p><p>443 Idaho St, Elko, NV 89801</p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>
|pho003383||||||||||||||||||||||||||||||
|pho003384||||||||||||||||||||||||||||||
|pho003385||||||||||||||||||||||||||||||
|pho003386||||||||||||||||||||||||||||||
|pho003387||||||||||||||||||||||||||||||
|pho003388||||||||||||||||||||||||||||||
|pho003389||||||||||||||||||||||||||||||
|pho003390||||||||||||||||||||||||||||||
|pho003391||||||||||||||||||||||||||||||
|pho003392||||||||||||||||||||||||||||||
|pho003393||||||||||||||||||||||||||||||
|pho003394||||||||||||||||||||||||||||||
|pho003395||||||||||||||||||||||||||||||
|pho003396||||||||||||||||||||||||||||||
|pho003397||||||||||||||||||||||||||||||
|pho003398||||||||||||||||||||||||||||||
|pho003399||||||||||||||||||||||||||||||
|pho003400||||||||||||||||||||||||||||||
|pho003401||||||||||||||||||||||||||||||
|pho003402||||||||||||||||||||||||||||||
|pho003403||||||||||||||||||||||||||||||
|pho003404||||||||||||||||||||||||||||||
|pho003405||||||||||||||||||||||||||||||
|pho003406||||||||||||||||||||||||||||||
|pho003407||||||||||||||||||||||||||||||
|pho003408||||||||||||||||||||||||||||||
|pho003409||||||||||||||||||||||||||||||
|pho003410||||||||||||||||||||||||||||||
|pho003411||||||||||||||||||||||||||||||
|pho003412||||||||||||||||||||||||||||||
|pho003413||||||||||||||||||||||||||||||
|pho003414||||||||||||||||||||||||||||||
|pho003415||||||||||||||||||||||||||||||
|pho003416||||||||||||||||||||||||||||||
|pho003417||||||||||||||||||||||||||||||
|pho003418||||||||||||||||||||||||||||||
|pho003419||||||||||||||||||||||||||||||
|pho003420||||||||||||||||||||||||||||||
|pho003421||||||||||||||||||||||||||||||
|pho003422||||||||||||||||||||||||||||||
|pho003423||||||||||||||||||||||||||||||
|pho003424||||||||||||||||||||||||||||||
|pho003425||||||||||||||||||||||||||||||
|pho003426||||||||||||||||||||||||||||||
|pho003427||||||||||||||||||||||||||||||
|pho003428||||||||||||||||||||||||||||||
|pho003429||||||||||||||||||||||||||||||
|pho003430||||||||||||||||||||||||||||||
|pho003431||||||||||||||||||||||||||||||
|pho003432||||||||||||||||||||||||||||||
|pho003433||||||||||||||||||||||||||||||
|pho003434||||||||||||||||||||||||||||||
|pho003435||||||||||||||||||||||||||||||
|pho003436||||||||||||||||||||||||||||||
|pho003437||||||||||||||||||||||||||||||
|pho003438||||||||||||||||||||||||||||||
|pho003439||||||||||||||||||||||||||||||
|pho003440||||||||||||||||||||||||||||||
|pho003532||||||||||||||||||||||||||||||
|pho003533||||||||||||||||||||||||||||||
|pho003534||||||||||||||||||||||||||||||
|pho003535||||||||||||||||||||||||||||||
|pho003536||||||||||||||||||||||||||||||
|pho003537||||||||||||||||||||||||||||||
|pho003538||||||||||||||||||||||||||||||
|pho003539||||||||||||||||||||||||||||||
|pho003540||||||||||||||||||||||||||||||
|pho003541||||||||||||||||||||||||||||||
|pho003542||||||||||||||||||||||||||||||
|pho003543||||||||||||||||||||||||||||||
|pho003544||||||||||||||||||||||||||||||
|pho003545||||||||||||||||||||||||||||||
|pho003546||||||||||||||||||||||||||||||
|pho003547||||||||||||||||||||||||||||||
|pho003548||||||||||||||||||||||||||||||
|pho003549||||||||||||||||||||||||||||||
|pho003550||||||||||||||||||||||||||||||
|pho003551||||||||||||||||||||||||||||||
|pho003552||||||||||||||||||||||||||||||
|pho003553||||||||||||||||||||||||||||||
|pho003554||||||||||||||||||||||||||||||
|pho003555||||||||||||||||||||||||||||||
|pho003556||||||||||||||||||||||||||||||
|pho003557||||||||||||||||||||||||||||||
|pho003558||||||||||||||||||||||||||||||
|pho003559||||||||||||||||||||||||||||||
|pho003560||||||||||||||||||||||||||||||
|pho003561||||||||||||||||||||||||||||||
|pho003562||||||||||||||||||||||||||||||
|pho003563||||||||||||||||||||||||||||||
|pho003564||||||||||||||||||||||||||||||
|pho003565||||||||||||||||||||||||||||||
|pho003566||||||||||||||||||||||||||||||
|pho003567||||||||||||||||||||||||||||||
|pho003568||||||||||||||||||||||||||||||
|pho003569||||||||||||||||||||||||||||||
|pho003570||||||||||||||||||||||||||||||
|pho003571||||||||||||||||||||||||||||||
|pho003572||||||||||||||||||||||||||||||
|pho003573||||||||||||||||||||||||||||||
|pho003574||||||||||||||||||||||||||||||
|pho003575||||||||||||||||||||||||||||||
|pho003576||||||||||||||||||||||||||||||
|pho003577||||||||||||||||||||||||||||||
|pho003578||||||||||||||||||||||||||||||
|pho003579||||||||||||||||||||||||||||||
|pho003580||||||||||||||||||||||||||||||
|pho003581||||||||||||||||||||||||||||||
|pho003582||||||||||||||||||||||||||||||
|pho003583||||||||||||||||||||||||||||||
|pho003584||||||||||||||||||||||||||||||
|pho003585||||||||||||||||||||||||||||||
|pho003586||||||||||||||||||||||||||||||
|pho003587||||||||||||||||||||||||||||||
|pho003588||||||||||||||||||||||||||||||
|pho003589||||||||||||||||||||||||||||||
|pho003590||||||||||||||||||||||||||||||
|pho003591||||||||||||||||||||||||||||||
|pho003592||||||||||||||||||||||||||||||
|pho003593||||||||||||||||||||||||||||||
|pho003594||||||||||||||||||||||||||||||
|pho003595||||||||||||||||||||||||||||||
|pho003596||||||||||||||||||||||||||||||
|pho003597||||||||||||||||||||||||||||||
|pho003598||||||||||||||||||||||||||||||
|pho003599||||||||||||||||||||||||||||||
|pho003600||||||||||||||||||||||||||||||
|pho003601||||||||||||||||||||||||||||||
|pho003602||||||||||||||||||||||||||||||
|pho003603||||||||||||||||||||||||||||||
|pho003604||||||||||||||||||||||||||||||
|pho003605||||||||||||||||||||||||||||||
|pho003606||||||||||||||||||||||||||||||
|pho003607||||||||||||||||||||||||||||||
|pho003608||||||||||||||||||||||||||||||
|pho003609||||||||||||||||||||||||||||||
|pho003610||||||||||||||||||||||||||||||
|pho003611||||||||||||||||||||||||||||||
|pho003612||||||||||||||||||||||||||||||
|pho003613||||||||||||||||||||||||||||||
|pho003614||||||||||||||||||||||||||||||
|pho003615||||||||||||||||||||||||||||||
|pho003616||||||||||||||||||||||||||||||
|pho003617||||||||||||||||||||||||||||||
|pho003618||||||||||||||||||||||||||||||
|pho003619||||||||||||||||||||||||||||||
|pho003620||||||||||||||||||||||||||||||
|pho003621||||||||||||||||||||||||||||||
|pho003622||||||||||||||||||||||||||||||
|pho003623||||||||||||||||||||||||||||||
|pho003624||||||||||||||||||||||||||||||
|pho003625||||||||||||||||||||||||||||||
